,,,,,,,,,,,,,,,,,,,,,,,,,
S. No. ,Name of equipment,PARAMETERS,Make/Model,Identification number,Range,Least count,Calibration Date,Calibration validity,Calibrated by,Section,Remarks,Acceptance criteria,Intermediate checks,,,,,,,,,,,,
1.0,Vernier Caliper (Analog),,insize,SM 219 VC 01,0-1000 mm,0.02mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
2.0,Sodium Chloride Bath,,Sigma Scientific Products,824.0,0 to 100°C,0.1 °C,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
2.0,Pie Tape,,PT,8060914.0,28-300 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
3.0,RPM for Vibration Machine,,AIMIL LTD.,234153.0,12000 + or - 400 rpm,----,2025-02-17 00:00:00,2026-02-17 00:00:00,AIMIL Calibration Laboratory,Mechanical,,,,,,,,,,,,,,,
3.0,ball type external micrometer (digital),,mitutoyo,SM 268 MM 01,0-25 mm,0.001 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
4.0,Vernier Caliper (Analog),,mitutoyo,322831.0,0-600mm,0.02 mm,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
4.0,point ended micrometer (digital),,mitutoyo,SM 269 PMM 01,0-25 mm,0.001 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
5.0,HUMIDITY CHAMBER,,Inlab equipment / libratherm,585094.0,0 to 60°C & 0 to 99% Rh,0.1 °C & 1% RH,2025-08-19 00:00:00,2026-08-18 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
5.0,External Micrometer (Analog)-,,mitutoyo,M/MM-04,0-25 mm,0.001 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
6.0,External Micrometer (Analog)-,,mitutoyo,M/M-03,0-25 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
7.0,External Micrometer (Analog)-,,mitutoyo,M/MM-07,25-50 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
8.0,Ball Type External Micrometer (Digital),,mitutoyo,72874383.0,0-25 mm,0.001 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
9.0,taper thread ring gauge,,size control ,VA 545,1/4x19 BSPT SY(B),,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
10.0,Thread Ring Gauge (NOGO),,size control ,HP 7113,M12 X 1.75 ISO-6g,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
11.0,Thread Ring Gauge (NOGO),,size control ,F 806,1/4 X 19 BSP B,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
12.0,Thread Ring Gauge (GO),,size control ,HP 7225,M12 X 1.75 ISO-6g,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
13.0,Thread Ring Gauge (NOGO),,size control ,MO 8507,1 B.A.(N),,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
14.0,thread ring gauge (NOGO),,size control ,V 2312,M5 X 0.8-6g,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
15.0,Digital RPM Indicator,,Delta & BASS/DRI/01,2023240012.0,0 to 46 rpm,1 RPM,2025-01-21 00:00:00,2026-01-20 00:00:00,Euro Calibration Technique,Mechanical,,,,,,,,,,,,,,,
15.0,Thread Ring Gauge (GO),,size control ,F 572,1/4 X 19 BSP B,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
16.0,Digital Temperature Controller with Sensor(Curing Tank),,i-therm,2425129661.0,0 to 100° C,0.1°C,2025-01-29 00:00:00,2026-01-29 00:00:00,BAGSON CALIBRATION LAB.PVT.LTD.,Mechanical,,,,,,,,,,,,,,,
16.0,Thread Ring Gauge (GO),,size control ,MO 8456,1 B.A.(N),,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
17.0,Taper Thread Plug Gauge,,size control ,-,1/4x19 BSPT (B),,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
18.0,thread ring gauge (GO),,size control ,V 2165,M5 X 0.8-6g,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
19.0,Vernier Caliper (Digital),,mitutoyo, SM 272 VC 03,0-200 mm,0.01mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
19.0,Thread Plug Gauge,,size control ,"JK 4599, JK 4600",M12 X 1.75 ISO-6H,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
20.0,Taper Thread Plug Gauge,,size control ,-,1/8 X 28 BSPT SY(B),,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
21.0,Thread Plug Gauge,,size control ,- ,1 B.A.(N),,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
22.0,Try Square(Verticality Gauge),,-,SM286VG01,600 X 300 mm,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
23.0,Thread Plug Gauge,,size control ,-,M5 X 0.8-6H,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
24.0,Thread Plug Gauge,,size control ,-,G 1/4 X 19 BSP,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
25.0,Ultrasonic Thickness Gauge,,OLYMPUS,SM234UTG01,0.5-635 mm,,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
26.0,Digital Plunger Dial,,Insize,- ,0-25mm,0.001 mm,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
27.0,Plunger Dial Gauge (Analog),,BAKER,GFA 649,0-10mm,0.01 mm,2025-08-15 00:00:00,2026-08-14 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
28.0,Vernier Caliper (Analog),, mitutoyo,M/VC-04,0-300 mm,0.02 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
29.0,Vernier Caliper (Dial),,mitutoyo,SM 209 DC 01,0-300 mm,0.02 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
30.0,Vernier Caliper (Analog),,mitutoyo,M/VC-07,0-300 mm,0.02 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
31.0,vernier caliper(digital),,mitutoyo,SM 272 VC 02,0-200mm,0.01mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
32.0,Vernier Calipers,,Sri Sai Enterprises,SM273VC 03,-,,,,,,,,,,,,,,,,,,,,
33.0,Ball Type External Micrometer (Digital),,mitutoyo,65125387.0,0-25 mm,0.001 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
34.0,Durometer (Shore A),,LXD-A,SH1605A1921,0-100 shore A,1 shore A,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
35.0,Thread Pitch Gauge,,mitutoyo,--,0.40-7.00 mm,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
36.0,Limit Gauge,,Kristeel shinwa,--  ,1'-45°,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
37.0,Radius Gauge,,mitutoyo,--,1-7 mm,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
38.0,Radius Gauge,,Kristeel shinwa,--,25-40 mm,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
39.0,Pie Tape,,--,--,300-600 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
40.0,Bevel Protractor,,mitutoyo,M/BP/01,0-360°,5',2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
41.0,Plunger Dial Gauge ,,baker,BJD159,0-10 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
42.0,Pie Tape,,P/T,10808.0,600-900 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
43.0,Plunger Dial Gauge ,,baker,FFA392,0-10 mm,0.01 mm,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
44.0,straight edge,,--,SM 303 ST 01,0-2500 mm,--,2025-11-06 00:00:00,2026-11-05 00:00:00,Reva phoenix ,Mechanical,,,,,,,,,,,,,,,
45.0,Digital Temperature Controller,,digitron,--,0 to 600°C,0.1°C,2025-08-22 00:00:00,2026-08-21 00:00:00,Hi Tech Calibration,Mechanical,,,,,,,,,,,,,,,
45.0,GLASS THERMOMETER,,Dimple,GTM-04,-10 to 110 ° C,0.5 °C,2025-08-18 00:00:00,2026-08-17 00:00:00,Euro Calibration,Mechanical,,,,,,,,,,,,,,,
