BUREAU OF INDIAN STANDARDS,,,,,,,,,,
SOUTHERN REGIONAL LABORATORY,,,,,,,,,,
PHYSICAL VERIFICATION OF CAPITAL EQUIPMENT AS ON 29.02.2025 Mechanical Lab,,,,,,,,,,
S.No.,Name,Make,Cost Rs.P,Lab Code,Location,Dt. Rec.,Entry details in Fixed asset register,URL,QR Code,Status (Working/Not working/Condemned/To be condemned)
1,UNIVERSAL TESTING MACHINE 40 TONNE,BLUE STAR LTD,132454.98,SM006UT01,UTM-40,75 04 23,,https://docs.google.com/document/d/11iAC40p6qLp6ZLw76RpPvVo5SaQOFj4g/edit,,Working
2,AIR COMPRESSOR 10KG/CM,ELGI EQUIPMENTS,12818.92,SM061CP02,HYD,81 12 15,7 REGISTER PAGE NO. 05,https://docs.google.com/document/d/1CleXMOGpiDDK-HTJ_J6lbzfdXXCVxQpb/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
3,FLEXING TEST MACHINE,PROLIFIC ENGINEERS,10200,SM073EF01,TEX,28-01-1983,7 REGISTER PAGE NO. 53,https://docs.google.com/document/d/1HHUhIrSTcvhCybcdUoH-74CRitziGdor/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
4,THICKNESS GAUGE FOR FOAM,PROLIFIC ENGINEERS,,SMO74TF01,TEX,83 01 28,,https://docs.google.com/document/d/1nAetVlaz_K8rOSfTAMLdC1TuOXdjKckq/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
5,DEADLOAD RUBBER HARDNESS TESTER,H.W. WALLACE (POUND 2985),14069.62,SM106RH01,TEX,15-07-1085,7 REGISTER PAGE NO.35,https://docs.google.com/document/d/1YQ5Jc4ml0nmwElPUTuz85OSXIfFJ7-9T/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
6,SLIP GAUGE BOX - 112 PIECES,MITUTOYO-GRADE 'O' 2mm SERIES,,SM139SG01,MET,90 03 14,,https://docs.google.com/document/d/1XANU7vqr-HculUNbvHNbPFBciU2JvaZa/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
7,SECONDARY STANDARD METRIC WEIGHTS,INDIA GOVT MINT 1mg to 10 kg,91627,SM164SW01,CAL,97 06 18,,https://docs.google.com/document/d/1qXWwRmNWuQM2RdKt6ouTWnXNVFe-2j_V/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
8,DIGITAL ELECTRONIC ANEMOMETER 0.25-15MM,ACD MACHINE CONTROL CO.,13488,SM165AM02,LPG,97 11 21,7 REGISTER PAGE NO. 03,https://docs.google.com/document/d/10rO-wGHYo5n66Z-wTSwHE5r8goT1asM3/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
9,FABRICATION OF TEST CORNER FOR LPG STOVE,PYRO,21500,SM169TC01,108E,00 09 02,7 REGISTER PAGE NO. 317,https://docs.google.com/document/d/1IaQWvItIiufn7GOkmjq78WLwqxKylx_U/edit,,
10,SECONDARY STANDARD CAPACITY MEASURES,20 ml to 5 l,54638,SM172SC01,CAL,01 02 22,,https://docs.google.com/document/d/1rLEFI80NWsWOjrhdpUTPj27R2UvdeXBp/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,"2L & 5L are available, Working"
11,HYDRAULIC PRESSURE TESTING EQUIPMENT,ALPHA,85500,SM173HP04,HYD,27-10-2001,7 REGISTER PAGE NO. 92,https://docs.google.com/document/d/1VXBumty7w_sHY-7tbLAYCRiI1oNKO9lY/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Partially Working
12,HYDRAULIC TRIPLEX PLUN GER PUMP,ALWEN PUMPS & SYSTEMS,49070,SM178HP04,HYD,17-03-2003,7 REGISTER PAGE NO. 78,https://docs.google.com/document/d/16bcX7M6_d1yD7F4aAVmJzIqNxuOpSZy-/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
13,VERNIER CALIPER 60 CM,MITUTOYO,15000,SM184VC03,CAL,04 03 26,,https://docs.google.com/document/d/1GUKdQ0RPdFw4l9KhdWTJBtY5ndF3FxPh/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
14,THREAD GAUGE (SET),GRAPHICA,10000,SM193TG08,MET,04 03 31,,https://docs.google.com/document/d/16BzbWATIPD1lU5CuMj9HgyVk1bsJDIYe/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
17,BALANCE,THE BOMBAY BURMAH TRADERS,90000,SM197BL11,CEM,06 04 07,7 REGISTER PAGE NO.15,https://docs.google.com/document/d/1ZMvZ94yzjMG06WxI7kyXz0MGUTRrXc_y/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
18,DEEP FREEZER,ILE CO.,48360,SM198DF03,HYD,07 11 13,7 REGISTER PAGE NO.38,https://docs.google.com/document/d/1R28rLDgeEgDMQ3k2heND8ETT_1pmLKy0/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
19,DIGIMATIC MICROMETER,MITUTOYO,16763,SM199DM01,GH,14-12-2007,7 REGISTER PAGE NO.33,https://docs.google.com/document/d/15PDokmaLbScMxb4sCdTsxncZ5z07PAT8/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Not working
20,HUMIDITY CHAMBER,THE ILE CO.,221625,SM201HF03,GH,07 11 08,7 REGISTER PAGE NO.94,https://docs.google.com/document/d/1weipslohVxnA53bWU5sdOc2KAndLJGPG/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Under repair
21,HUMIDITY CHAMBER,THE ILE CO.,209250,SM202HF04,GH,07 11 08,7 REGISTER PAGE NO.94,https://docs.google.com/document/d/1_03UsrBvuZvlbi-Xj7GdLjp_ZmD9N0MC/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
22,ELECTRONIC BALANCE BSA 8201,SARTORIUS,57386,SM205BL12,LPG,21 04 2012,7 REGISTER PAGE NO. 11,https://docs.google.com/document/d/1BiO8hX84KnZTIkzkjcAukwuBVydA2-x6/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
23,COMPRESSION TESTING MACHINE,AIMIL,603352,SM206ACTM01,CEM,20.3.2012,7 REGISTER PAGE NO. 22,https://docs.google.com/document/d/1VhjTA0CoXVbZhTa8HtPQIunBra3nFpLT/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
24,HOT AIR OVEN,MEPCCO,44136,SM207AO04,GH,14.02.2014,,https://docs.google.com/document/d/1pR_hX2mX6ORkLwF2dO8Mxfjrgr_24HYk/edit?usp=drive_link&ouid=106109192942827944520&rtpof=true&sd=true,,Working
